0,barren land
1,barren land
2,barren land
3,barren land
4,barren land
5,trees
6,barren land
7,barren land
8,barren land
9,barren land
10,barren land
11,barren land
12,barren land
13,barren land
14,barren land
15,barren land
16,barren land
17,barren land
18,barren land
19,barren land
20,barren land
21,barren land
22,barren land
23,barren land
24,barren land
25,barren land
26,barren land
27,barren land
28,barren land
29,barren land
30,trees
31,barren land
32,barren land
33,barren land
34,barren land
35,barren land
36,barren land
37,barren land
38,barren land
39,barren land
40,barren land
41,barren land
42,barren land
43,barren land
44,barren land
45,barren land
46,barren land
47,barren land
48,barren land
49,barren land
50,barren land
51,barren land
52,barren land
53,barren land
54,barren land
55,grassland
56,barren land
57,barren land
58,barren land
59,barren land
60,barren land
61,barren land
62,barren land
63,barren land
64,barren land
65,barren land
66,barren land
67,barren land
68,barren land
69,barren land
70,barren land
71,barren land
72,barren land
73,barren land
74,barren land
75,barren land
76,barren land
77,barren land
78,barren land
79,barren land
80,grassland
81,grassland
82,barren land
83,barren land
84,barren land
85,barren land
86,barren land
87,barren land
88,barren land
89,barren land
90,barren land
91,barren land
92,barren land
93,barren land
94,barren land
95,barren land
96,barren land
97,barren land
98,barren land
99,barren land
100,trees
101,barren land
102,barren land
103,grassland
104,barren land
105,grassland
106,grassland
107,trees
108,barren land
109,barren land
110,barren land
111,barren land
112,trees
113,barren land
114,barren land
115,barren land
116,barren land
117,barren land
118,barren land
119,barren land
120,barren land
121,barren land
122,barren land
123,barren land
124,barren land
125,grassland
126,trees
127,barren land
128,barren land
129,grassland
130,grassland
131,grassland
132,trees
133,barren land
134,grassland
135,trees
136,barren land
137,grassland
138,barren land
139,barren land
140,barren land
141,barren land
142,barren land
143,barren land
144,barren land
145,trees
146,barren land
147,trees
148,grassland
149,trees
150,grassland
151,barren land
152,barren land
153,barren land
154,grassland
155,trees
156,grassland
157,grassland
158,grassland
159,barren land
160,barren land
161,grassland
162,barren land
163,barren land
164,barren land
165,barren land
166,barren land
167,barren land
168,trees
169,barren land
170,trees
171,grassland
172,trees
173,grassland
174,trees
175,barren land
176,barren land
177,barren land
178,grassland
179,grassland
180,grassland
181,grassland
182,trees
183,grassland
184,barren land
185,trees
186,barren land
187,barren land
188,barren land
189,barren land
190,barren land
191,barren land
192,grassland
193,grassland
194,trees
195,grassland
196,grassland
197,grassland
198,trees
199,barren land
200,barren land
201,barren land
202,grassland
203,grassland
204,grassland
205,grassland
206,barren land
207,trees
208,trees
209,trees
210,barren land
211,barren land
212,barren land
213,barren land
214,barren land
215,barren land
216,grassland
217,trees
218,grassland
219,grassland
220,grassland
221,barren land
222,trees
223,barren land
224,barren land
225,barren land
226,barren land
227,grassland
228,grassland
229,grassland
230,grassland
231,grassland
232,grassland
233,trees
234,barren land
235,barren land
236,barren land
237,barren land
238,barren land
239,barren land
240,grassland
241,trees
242,grassland
243,grassland
244,grassland
245,barren land
246,grassland
247,grassland
248,grassland
249,barren land
250,barren land
251,grassland
252,grassland
253,grassland
254,grassland
255,grassland
256,grassland
257,trees
258,barren land
259,barren land
260,barren land
261,barren land
262,barren land
263,barren land
264,grassland
265,grassland
266,grassland
267,barren land
268,trees
269,barren land
270,grassland
271,trees
272,grassland
273,grassland
274,grassland
275,grassland
